id,lat,lon
42467330,40.655156,-73.933676
42467331,40.655216,-73.932706
42467333,40.655273,-73.931772
42467334,40.655336,-73.930768
42467335,40.655398,-73.929762
42467337,40.655456,-73.928827
42991626,40.509992,-74.243741
42467339,40.655516,-73.927856
42860546,40.7436274,-73.9404517
42991630,40.509622,-74.24499
42467343,40.655576,-73.926888
42467346,40.655632,-73.925953
42860563,40.7433053,-73.9376534
42467350,40.655694,-73.924983
42991641,40.509297,-74.246057
42860570,40.7431934,-73.9367078
42467355,40.655754,-73.924014
42991645,40.509045,-74.246903
42467360,40.6558712,-73.9233908
42860580,40.7428784,-73.933942
42467369,40.592074,-73.9629924
42860586,40.7426591,-73.9320825
42467372,40.592327,-73.960736
42467374,40.592504,-73.959135
42860591,40.7425534,-73.9311586
42991666,40.508413,-74.249069
42860595,40.7424477,-73.9302418
42860598,40.7423388,-73.9293061
42860601,40.7422291,-73.9283627
42860603,40.74202,-73.92655
42860605,40.741908,-73.925588
42860609,40.7418026,-73.9246619
42729538,40.881636,-73.845233
42467396,40.67946,-74.010427
42860613,40.7416978,-73.9237376
42860615,40.7415908,-73.9228121
42860617,40.741478,-73.921883
42860618,40.7413716,-73.9209487
42467403,40.679762,-74.005222
42467405,40.679548,-74.004419
42860622,40.7412726,-73.9200222
2757492815,40.8574691,-73.8808055
42860624,40.7410543,-73.9181651
42991698,40.5742124,-74.1218511
42991702,40.573556,-74.121604
598321849,40.645771,-74.0168721
42467417,40.678935,-74.001905
42860635,40.740729,-73.915384
42445498,40.723686,-73.996476
42991710,40.571502,-74.121625
42467425,40.6791703,-73.9412696
42838715,40.747262,-73.874442
280232037,40.7277928,-73.813822
42991718,40.570596,-74.122595
42467431,40.6780813,-73.9413807
42467435,40.6772,-73.941463
42467437,40.676421,-73.941535
42991727,40.569908,-74.123427
42860656,40.745735,-73.859585
2024822120,40.8745463,-73.8863714
42467443,40.6756419,-73.9416044
42991732,40.568949,-74.124899
42860663,40.7470505,-73.8551852
42467448,40.674748,-73.941694
42467452,40.673859,-73.941775
42991741,40.5675766,-74.1271413
42467454,40.672968,-73.94186
42467456,40.672078,-73.941945
