41,40
7,17
18,17
44,45
44,54
3,13
14,13
8,9
19,9
9,8
40,41
8,18
19,18
40,50
15,5
15,14
42,32
36,46
52,42
18,19
41,51
18,28
48,38
14,15
48,47
14,24
9,19
16,6
10,20
15,16
26,16
16,15
47,48
15,25
26,25
42,43
47,57
42,52
22,12
17,7
22,21
38,39
49,39
17,16
51,41
48,49
38,48
49,48
54,44
48,58
13,3
13,12
55,45
50,40
55,54
16,17
24,30
50,49
16,26
46,36
51,50
12,13
23,13
46,45
22,23
12,22
23,22
28,18
49,50
49,59
13,14
24,14
45,46
56,46
13,23
24,23
55,56
30,36
45,55
50,51
61,51
25,31
56,55
20,10
46,47
57,47
51,61
23,24
31,37
46,56
57,56
53,43
53,52
25,15
19,29
24,25
25,24
56,57
21,11
20,21
21,20
52,53
31,30
57,58
27,17
27,26
7,8
53,54
54,53
30,31
59,49
25,26
60,50
26,27
5,4
60,59
21,22
1,0
17,18
27,28
17,27
30,24
28,27
54,55
29,19
29,28
5,6
31,25
50,60
60,61
61,60
1,2
2,1
1,11
28,29
58,48
3,2
58,57
35,34
2,3
36,35
2,12
3,4
14,4
4,3
35,36
58,59
59,58
35,45
10,0
36,37
47,37
37,36
47,46
6,5
32,33
43,33
33,32
32,42
43,42
4,5
59,60
38,37
4,14
39,38
0,1
11,1
5,15
10,11
36,30
0,10
11,10
34,33
37,38
37,47
6,7
7,6
12,2
6,16
33,34
44,34
12,11
43,44
33,43
44,43
43,53
8,7
39,40
40,39
34,35
45,35
39,49
11,12
37,31
34,44
45,44
11,21
18,8
