41,40,1.0
7,17,1.0
18,17,1.0
44,45,1.0
44,54,1.0
3,13,1.0
14,13,1.0
8,9,1.0
19,9,1.0
9,8,1.0
40,41,1.0
8,18,1.0
19,18,1.0
40,50,1.0
15,5,1.0
15,14,1.0
42,32,1.0
36,46,1.0
52,42,1.0
18,19,1.0
41,51,1.0
18,28,1.0
48,38,1.0
14,15,1.0
48,47,1.0
14,24,1.0
9,19,1.0
16,6,1.0
10,20,1.0
15,16,1.0
26,16,1.0
16,15,1.0
47,48,1.0
15,25,1.0
26,25,1.0
42,43,1.0
47,57,1.0
42,52,1.0
22,12,1.0
17,7,1.0
22,21,1.0
38,39,1.0
49,39,1.0
17,16,1.0
51,41,1.0
48,49,1.0
38,48,1.0
49,48,1.0
54,44,1.0
48,58,1.0
13,3,1.0
13,12,1.0
55,45,1.0
50,40,1.0
55,54,1.0
16,17,1.0
24,30,1.0
50,49,1.0
16,26,1.0
46,36,1.0
51,50,1.0
12,13,1.0
23,13,1.0
46,45,1.0
22,23,1.0
12,22,1.0
23,22,1.0
28,18,1.0
49,50,1.0
49,59,1.0
13,14,1.0
24,14,1.0
45,46,1.0
56,46,1.0
13,23,1.0
24,23,1.0
55,56,1.0
30,36,1.0
45,55,1.0
50,51,1.0
61,51,1.0
25,31,1.0
56,55,1.0
20,10,1.0
46,47,1.0
57,47,1.0
51,61,1.0
23,24,1.0
31,37,1.0
46,56,1.0
57,56,1.0
53,43,1.0
53,52,1.0
25,15,1.0
19,29,1.0
24,25,1.0
25,24,1.0
56,57,1.0
21,11,1.0
20,21,1.0
21,20,1.0
52,53,1.0
31,30,1.0
57,58,1.0
27,17,1.0
27,26,1.0
7,8,1.0
53,54,1.0
54,53,1.0
30,31,1.0
59,49,1.0
25,26,1.0
60,50,1.0
26,27,1.0
5,4,1.0
60,59,1.0
21,22,1.0
1,0,1.0
17,18,1.0
27,28,1.0
17,27,1.0
30,24,1.0
28,27,1.0
54,55,1.0
29,19,1.0
29,28,1.0
5,6,1.0
31,25,1.0
50,60,1.0
60,61,1.0
61,60,1.0
1,2,1.0
2,1,1.0
1,11,1.0
28,29,1.0
58,48,1.0
3,2,1.0
58,57,1.0
35,34,1.0
2,3,1.0
36,35,1.0
2,12,1.0
3,4,1.0
14,4,1.0
4,3,1.0
35,36,1.0
58,59,1.0
59,58,1.0
35,45,1.0
10,0,1.0
36,37,1.0
47,37,1.0
37,36,1.0
47,46,1.0
6,5,1.0
32,33,1.0
43,33,1.0
33,32,1.0
32,42,1.0
43,42,1.0
4,5,1.0
59,60,1.0
38,37,1.0
4,14,1.0
39,38,1.0
0,1,1.0
11,1,1.0
5,15,1.0
10,11,1.0
36,30,1.0
0,10,1.0
11,10,1.0
34,33,1.0
37,38,1.0
37,47,1.0
6,7,1.0
7,6,1.0
12,2,1.0
6,16,1.0
33,34,1.0
44,34,1.0
12,11,1.0
43,44,1.0
33,43,1.0
44,43,1.0
43,53,1.0
8,7,1.0
39,40,1.0
40,39,1.0
34,35,1.0
45,35,1.0
39,49,1.0
11,12,1.0
37,31,1.0
34,44,1.0
45,44,1.0
11,21,1.0
18,8,1.0
